Wall time,Step,Value
1728799613.495904,182343,370.0
1728799616.4852042,183121,450.0
1728799622.521525,184643,490.0
1728799624.254607,185091,300.0
1728799628.0359674,186066,340.0
1728799630.2627664,186624,490.0
1728799632.2573853,187125,350.0
1728799633.9063108,187538,370.0
1728799636.2219403,188113,420.0
1728799638.2591968,188623,300.0
1728799640.0423164,189070,260.0
1728799642.6889424,189735,700.0
1728799652.7293596,190566,720.0
1728799655.302842,191250,630.0
1728799662.7102466,193171,270.0
1728799666.2100787,194048,590.0
1728799669.3965957,194846,530.0
1728799672.8419142,195708,320.0
1728799674.2770944,196067,180.0
1728799682.854413,198217,360.0
1728799687.5386536,199403,330.0
1728799689.5984519,199945,340.0
1728799697.9355886,200671,640.0
1728799704.368177,202351,230.0
1728799705.7743979,202720,160.0
1728799708.3625083,203397,610.0
1728799710.3691118,203925,240.0
1728799713.1276326,204650,570.0
1728799716.854449,205626,1050.0
1728799719.309065,206252,760.0
1728799721.7306447,206859,450.0
1728799723.9794688,207419,430.0
1728799725.9021807,207899,370.0
1728799728.5430832,208559,700.0
1728799730.3796773,209033,320.0
1728799732.6372976,209620,440.0
1728799741.3930302,210264,680.0
1728799745.597169,211320,480.0
1728799749.1687682,212243,270.0
1728799753.3394682,213314,1830.0
1728799756.404524,214125,700.0
1728799760.8996146,215267,2470.0
1728799766.5900214,216696,300.0
1728799769.5116978,217466,530.0
1728799771.9864726,218097,590.0
1728799773.7338114,218552,360.0
1728799786.0045395,220159,690.0
1728799789.4084592,221022,1050.0
1728799795.0679233,222513,1000.0
1728799797.329268,223107,1070.0
1728799804.860858,225002,380.0
1728799806.8229754,225492,310.0
1728799809.3061364,226110,430.0
1728799813.5255132,227159,380.0
1728799815.0751007,227547,310.0
1728799817.2164211,228079,500.0
1728799823.3996851,229613,650.0
1728799824.857644,229978,200.0
1728799835.3868158,230621,690.0
1728799837.3936846,231119,330.0
1728799840.3404436,231852,750.0
1728799843.637744,232675,1310.0
1728799845.3500962,233097,350.0
1728799847.2808077,233574,270.0
1728799851.4336128,234601,350.0
1728799853.129364,235023,280.0
1728799855.7629826,235675,440.0
1728799858.017324,236233,400.0
1728799867.958514,238699,540.0
1728799870.5790448,239347,720.0
1728799880.0388434,240033,730.0
1728799884.3643825,241102,890.0
1728799885.6493385,241428,240.0
1728799889.46129,242388,470.0
1728799895.531975,243894,320.0
1728799900.0895875,245024,430.0
1728799901.6336915,245408,300.0
1728799904.0796938,246017,310.0
1728799908.2592785,247051,410.0
1728799911.0864782,247753,650.0
1728799913.0227087,248235,410.0
1728799917.856861,249435,890.0
1728799928.5470817,250345,290.0
1728799931.8197236,251161,720.0
1728799935.6894372,252158,420.0
1728799938.2250125,252814,1140.0
1728799940.906203,253476,510.0
1728799947.1418383,255037,590.0
1728799949.175628,255536,500.0
1728799951.856142,256200,720.0
1728799953.9084074,256710,350.0
1728799955.5481067,257117,310.0
1728799957.8920276,257702,550.0
1728799959.982586,258222,440.0
1728799964.5798516,259360,370.0
1728799966.6290128,259864,390.0
1728799976.3192635,260364,320.0
1728799978.2624307,260871,300.0
1728799981.0449872,261581,490.0
1728799982.6785262,261999,350.0
1728799989.2602572,263712,390.0
1728799990.9105587,264141,400.0
1728799994.7728026,265143,780.0
1728799997.2724411,265799,1020.0
1728799999.1856675,266283,460.0
1728800004.4487028,267620,900.0
1728800007.1037257,268299,830.0
1728800009.4050686,268906,1850.0
1728800022.1615958,270517,510.0
1728800024.029125,270984,350.0
1728800025.9489262,271460,380.0
1728800028.4477344,272102,650.0
1728800031.4040363,272834,640.0
1728800033.1753187,273266,300.0
1728800034.7311518,273650,290.0
1728800036.6538377,274122,420.0
1728800039.1693432,274739,1190.0
1728800044.7986202,276128,620.0
1728800047.857508,276926,770.0
1728800050.8790169,277716,1080.0
1728800052.999151,278269,540.0
1728800055.8865764,279019,800.0
1728800057.5891802,279465,350.0
1728800069.9025853,280885,1470.0
1728800076.2094154,282426,270.0
1728800085.3663044,284680,520.0
1728800093.5059562,286674,480.0
1728800096.009194,287292,470.0
1728800098.8529441,287991,440.0
1728800101.4218159,288620,700.0
1728800104.1223793,289285,740.0
1728800106.9921484,289994,1050.0
1728800117.0825224,290767,1050.0
1728800119.9392965,291470,1040.0
1728800122.805267,292176,740.0
1728800124.7816944,292665,390.0
1728800128.1754076,293498,940.0
1728800130.367755,294037,530.0
1728800135.521166,295306,760.0
1728800138.1183949,295964,650.0
1728800145.872819,297927,530.0
1728800151.678638,299427,1130.0
1728800153.6141496,299904,360.0
1728800162.3690891,300511,470.0
1728800164.0776525,300933,330.0
1728800167.1896513,301707,880.0
1728800173.0426161,303142,830.0
1728800183.3069603,305662,990.0
1728800184.912884,306076,340.0
1728800188.1618295,306913,1670.0
1728800193.1927931,308168,400.0
1728800195.8062153,308826,1260.0
1728800198.2649128,309467,590.0
1728800199.814139,309877,330.0
1728800210.7272732,310897,380.0
1728800214.3868546,311847,510.0
1728800221.3458111,313649,260.0
1728800232.215823,316415,640.0
1728800240.7528932,318625,280.0
1728800243.244822,319271,820.0
1728800245.5609076,319853,440.0
1728800255.7327838,320737,530.0
1728800257.5917335,321220,370.0
1728800260.0553062,321858,1150.0
1728800262.7507894,322547,1520.0
1728800265.9684951,323360,1610.0
1728800270.0475273,324358,820.0
1728800273.9641826,325315,1640.0
1728800276.419916,325913,810.0
1728800278.6742463,326463,500.0
1728800281.553678,327161,1260.0
1728800284.4045641,327868,910.0
1728800287.8802917,328755,420.0
1728800292.4917102,329922,1410.0
1728800302.483138,330643,700.0
1728800305.9861364,331541,450.0
1728800311.3402858,332912,1540.0
1728800313.1866288,333382,480.0
1728800315.2006485,333897,520.0
1728800318.3323326,334698,780.0
1728800327.2151337,336955,970.0
1728800329.6300693,337572,900.0
1728800334.7265086,338874,580.0
1728800337.590796,339594,740.0
1728800347.39497,340322,850.0
1728800353.170068,341733,1290.0
1728800358.230162,342993,820.0
1728800359.9596121,343413,310.0
1728800366.7025235,345052,1150.0
1728800369.245929,345678,380.0
1728800372.2554312,346412,750.0
1728800375.498772,347226,850.0
1728800378.1798406,347886,710.0
1728800394.7125084,350051,770.0
1728800398.6371992,351033,2660.0
1728800402.059868,351902,1150.0
1728800405.91708,352871,1090.0
1728800411.6728268,354337,960.0
1728800420.5228024,356578,830.0
1728800422.664681,357123,460.0
1728800425.6232383,357871,1640.0
1728800428.9720926,358706,1810.0
1728800432.1871543,359488,1470.0
1728800442.1495776,360168,1180.0
1728800449.114263,361887,570.0
1728800452.1646168,362638,600.0
1728800459.0649505,364324,1560.0
1728800462.809182,365228,920.0
1728800465.2383764,365812,790.0
1728800468.4001338,366574,1190.0
1728800470.373086,367054,490.0
1728800479.0707722,369157,800.0
1728800482.234675,369917,840.0
1728800491.2141094,370391,390.0
1728800493.975308,371059,2190.0
1728800508.2613027,374512,530.0
1728800512.6850424,375580,350.0
1728800515.87311,376352,950.0
1728800525.693803,378826,1210.0
1728800541.5953608,380777,690.0
1728800544.554515,381494,1020.0
1728800546.823171,382042,420.0
1728800549.5770876,382707,520.0
1728800553.4345732,383637,1600.0
1728800556.4834974,384381,1240.0
1728800563.4882824,386087,1100.0
1728800565.7262745,386627,480.0
1728800568.0839653,387196,710.0
1728800570.455448,387767,980.0
1728800576.1888788,389154,1740.0
1728800578.1052406,389615,430.0
1728800589.0237596,390271,560.0
1728800592.0657716,391002,1270.0
1728800597.9549043,392423,840.0
1728800600.0964494,392936,420.0
1728800601.9619005,393386,420.0
1728800605.9786155,394354,1290.0
1728800607.8879554,394812,820.0
1728800610.5314062,395455,760.0
1728800617.1135538,397075,1260.0
